Qu’est ce qu’un lab d’innovation public ?,"Un lab d’innovation public est un dispositif qui rassemble des compétences, des ressources, des méthodes et des valeurs, souvent incarnées dans un lieu, permettant de questionner, d'expérimenter, de concevoir ou d’améliorer une politique publique, une organisation, un processus ou un outil.
En résumé, il travaille suivant une large acceptation de l’innovation, en considérant celle-ci dans toutes ses dimensions : pédagogique, service aux usagers, numérique, sociale et organisationnelle.

Au 110 bis, nous nous efforçons de développer ce dispositif au sein même du ministère et dans les académies en accompagnant celles qui le souhaitent. L’objectif étant que le plus grand nombre d’acteurs de l’Education nationale et de la Jeunesse (professeurs, personnels de l’administration et des académies, etc.) puissent accéder à un cadre dédié à l’intention des solutions répondant aux défis de l’éducation d’aujourd’hui et de demain.
"
Qu’est ce que le 110 Bis ?,"Concrètement au 110 bis on y trouve : 

UNE ÉQUIPE :
Le 110 bis est animé par une équipe permanente de mouton à 5 pattes rattachée au Secrétariat général;
Sa mission ? Accompagner les acteurs de l'Éducation nationale et de la Jeunesse dans leur projets d’innovation, créer des ponts entre les communautés d’acteurs engagés et offrir un espace de liberté.
Tech, design, gestion de communauté, politiques publiques, intendance, gestions de projets, innovation, éducation, communication, etc…
L’équipe est touche-à-tout et peut également compter sur une communauté grandissante d’experts prêts à se mobiliser !

DES MÉTHODES :
Le principe : penser et produire autrement, en triant le meilleur des expertises de chacun et en visant l’efficience. 
Pour accompagner ces projets, le 110 bis s’appuie sur des ressources, des outils et des méthodes collaboratives qui visent à favoriser le croisement des expertises, à intégrer les usagers tout au long du processus de conception, à prototyper et à tester rapidement les idées sur le terrain.
Pour cela, le fonctionnement du 110 bis repose sur des principes d’innovation ouverte : horizontalité, partage, contribution et sérendipité.

UN LIEU :
Un espace de 350 m² a été aménagé au cœur du ministère pour permettre d'accueillir des porteurs de projets en résidence et des sessions de travail collaboratives.
UN ÉCOSYSTÈME : 
Le 110 bis est un dispositif ouvert qui s’appuie et s’enrichit des expertises et des idées d’un vaste écosystème interne (enseignants, personnels d’établissements, agent des directions centrales et académiques, chercheurs…) mais aussi interministériel (réseau des labs d’innovation et incubateurs publics notamment) et issu de la société civile (entrepreneurs, acteurs associatifs, parents d’élèves…).

“Le 110 bis, c’est une équipe, une offre de services, une communauté et un espace ouvert au cœur du ministère de l’Education nationale et de la Jeunesse, dédiés à l’innovation dans toutes ses dimensions. Le 110 bis offre à tous les acteurs du ministère un cadre de liberté pour expérimenter, échanger, apprendre et tester rapidement des solutions répondant aux défis de l’éducation d’aujourd’hui et de demain.” - L’équipe du 110 bis"
En résumé le 110 Bis c’est quoi ?,"Un “bis-lieu” : il fait partie intégrante du ministère de l’Education Nationale et de la Jeunesse mais on y fait autrement.
Un écosystème apprenant : les acteurs qui gravitent autour s’enrichissent mutuellement et nourrissent le 110 bis de leurs productions.
Un cadre neutre d'échanges horizontaux : les échanges se font dans un esprit d’ouverture et de bienveillance, toutes les idées peuvent y être exprimées.
Un commun : tous les usagers et partenaires du 110 bis à la fois dépositaires et bénéficiaires des ressources et des services du 110 bis.

MAIS CE N’EST PAS :
Un espace pour faire des réunions dans un espace moderne
Une vitrine dédiée au numérique et aux nouvelles technologies
Un objet figé répondant à une description unique
Un FabLab, un laboratoire de recherche, un incubateur, un accélérateur de startups, un espace de coworking etc., mais sans doute un peu de tout ça à la fois."
Quels sont les enjeux du 110 Bis ?,"Faciliter un dialogue ouvert et horizontal pour tous les acteurs agissant au service de l’éducation.
Donner à voir et à comprendre les transformations qui impactent la société de la connaissance.
Impulser de nouvelles façons de travailler, de collaborer, de documenter.
Détecter, faire émerger, développer des projets innovants."
Quelles sont les missions du 110 Bis ?,"Nos 4 missions :

Terreau d’innovation :
Le 110 bis contribue à créer un cadre organisationnel, culturel, technique et méthodologique favorisant l’émergence et le développement de projets innovants.

Exploration:
Le 110 bis a par essence vocation à proposer des thèmes de prospective mais aussi des méthodes inédites pour faciliter leur compréhension puis leur appropriation par l'ensemble du système éducatif.

Preuves de concept :
Le 110 bis est un espace de production.
Ainsi, il est dédié à l'essai/erreur, aux itérations permanentes avec les utilisateurs et au prototypage rapide.

Diffusion et Valorisation :
Le 110 bis favorise le partage des savoirs en connectant les initiatives convergentes, en incitant à la contribution à des services développés en open source, en documentant les formats de sessions pour faciliter leur ré-appropriation.

Déclinées en une offre de services ! "
Quelle est l’offre de service du 110 bis ?,"Accompagnement de projets, création de formats dédiés au travail collaboratif, aide à la recherche de financement alternatifs, mobilisation d’experts aux compétences variées, etc.

Le 110 bis a vocation à accompagner les projets innovants portés par tout agent public ayant un lien avec l’éducation."
Quelle est l’offre d’accompagnement du 110 bis ?,"L’accompagnement de projets du 110 bis s’effectue au moyen de 4 dispositifs :

Les Office Hours :
Vous avez une idée et souhaitez en parler ?
L’équipe du 110 bis se tient à votre disposition tous les mercredis de 14h à 16h.

Session d’accélération
Vous avez besoin d’aide pour passer une étape-clé dans la conduite de votre projet ?
L’équipe du 110 bis peut concevoir et animer avec vous une session de travail collaborative sur mesure.

Incubation
Le 110 bis accompagne en proximité des projets de services qui ont vocation à être prototypés et déployés.
Les labs en académie
Le 110 bis accompagne des académies dans la conceptions et la mise en place de leur(s) lab(s)
Carte des labs => QRC"
Comment contacter le 110 bis ?,Par mail : 110bis@education.gouv.fr => QRC
Nous rencontrer ?,"Présentation mensuelle ouverte à tous ! 
Une fois par mois l’équipe du 110 bis accueille tous les curieux souhaitant en apprendre plus sur ses actions !
Au programme : une brève présentation du fonctionnement de la structure, suivie par le pitch du projet d’un de nos résidents, puis un temps d’interaction pour répondre à vos questions !"
Comment suivre les activités du 110 bis ? ,Sur nos réseaux sociaux : @lab110bis [Instagram & Twitter & LinkedIn] mais vous pouvez retrouver nos activies sur notre agenda en ligne : https://opengenda.com/110bis ou encore de visiter notre page web http://bit.ly/actuslab110bis  => QRC
Découvrir nos projets ?,education.gouv.fr !
